Rank,Electorate,State,Personal wellbeing index,SD,SE,95% CI lower bound,95% CI upper bound,Sample size,p value
1,Mayo,SA,79.49,11.408,0.919,77.688,81.292,154,0
2,Murray,VIC,79.16,10.589,0.827,77.534,80.776,164,0
3,Mallee,VIC,79.06,12.58,0.979,77.137,80.976,165,0.0002
4,Gilmore,NSW,78.92,12.449,0.949,77.06,80.781,172,0.0002
5,Maranoa,QLD,78.82,10.969,0.839,77.178,80.466,171,0
6,Franklin,TAS,78.78,10.371,0.98,76.855,80.696,112,0.0005
7,Mitchell,NSW,78.53,9.846,0.786,76.986,80.066,157,0.0001
8,Kennedy,QLD,78.41,11.861,0.975,76.496,80.318,148,0.0018
9,O’connor,WA,78.33,13.05,1.029,76.316,80.348,161,0.004
10,Berowra,NSW,78.31,10.61,0.75,76.837,79.778,200,0.0001
11,Goldstein,VIC,78.18,9.919,0.789,76.636,79.729,158,0.0004
12,Wannon,VIC,78.17,12.481,0.972,76.269,80.078,165,0.0039
13,Curtin,WA,78.17,9.506,0.815,76.575,79.77,136,0.0006
14,Gippsland,VIC,78.15,12.212,0.99,76.207,80.09,152,0.005
15,North Sydney,NSW,78.13,10.441,0.861,76.446,79.822,147,0.0013
16,Lyons,TAS,78.07,13.001,1.154,75.804,80.326,127,0.0195
17,Canberra,ACT,77.9,10.44,0.74,76.446,79.347,199,0.0006
18,Hunter,NSW,77.83,12.524,1.009,75.851,79.807,154,0.0148
19,Flinders,VIC,77.77,13.251,1.035,75.742,79.798,164,0.0204
20,Bradfield,NSW,77.68,9.244,0.717,76.27,79.083,166,0.0013
21,Forrest,WA,77.57,13.118,1.164,75.289,79.852,127,0.0587
22,Adelaide,SA,77.53,9.628,0.848,75.869,79.192,129,0.0108
23,Bendigo,VIC,77.5,11.696,0.616,76.296,78.71,361,0.0005
24,Boothby,SA,77.39,12.336,0.868,75.689,79.092,202,0.0199
25,Jagajaga,VIC,77.39,11.549,0.861,75.702,79.076,180,0.019
26,Sturt,SA,77.36,9.685,0.734,75.925,78.804,174,0.0066
27,Corangamite,VIC,77.33,10.516,0.821,75.725,78.944,164,0.0168
28,Chisholm,VIC,77.28,10.797,0.826,75.658,78.895,171,0.0209
29,Fremantle,WA,77.23,10.789,0.954,75.363,79.101,128,0.0509
30,Indi,VIC,77.08,12.573,1.033,75.059,79.111,148,0.097
31,Hughes,NSW,77.07,11.146,0.817,75.472,78.676,186,0.0371
32,Braddon,TAS,76.95,12.431,1.207,74.588,79.321,106,0.1895
33,Ballarat,VIC,76.79,12.021,1.002,74.822,78.749,144,0.1576
34,Hume,NSW,76.76,12.613,0.976,74.845,78.671,167,0.1551
35,Corio,VIC,76.72,14.25,1.317,74.133,79.298,117,0.3071
36,Calare,NSW,76.71,13.19,0.928,74.892,78.53,202,0.1483
37,New England,NSW,76.67,10.639,0.774,75.15,78.183,189,0.0938
38,Eden-Monaro,NSW,76.66,14.187,0.736,75.221,78.105,372,0.0788
39,Bowman,QLD,76.66,11.475,0.988,74.72,78.592,135,0.1929
40,Riverina,NSW,76.65,13.086,0.992,74.706,78.595,174,0.1969
41,Aston,VIC,76.65,11.755,0.97,74.747,78.548,147,0.1877
42,Cunningham,NSW,76.65,11.414,0.9,74.883,78.409,161,0.1561
43,Lyne,NSW,76.64,11.7,0.895,74.888,78.395,171,0.1553
44,Mackellar,NSW,76.62,11.25,0.808,75.037,78.203,194,0.1217
45,McMillan,VIC,76.58,13.333,1.057,74.504,78.649,159,0.2537
46,Flynn,QLD,76.55,11.023,0.922,74.747,78.36,143,0.1992
47,McEwen,VIC,76.53,12.339,0.66,75.238,77.823,350,0.0785
48,Page,NSW,76.53,12.616,0.903,74.757,78.298,195,0.2002
49,Ryan,QLD,76.49,11.015,0.858,74.813,78.174,165,0.1902
50,Newcastle,NSW,76.48,12.973,1.001,74.518,78.441,168,0.2676
51,Lingiari,NT,76.33,13.315,0.782,74.797,77.863,290,0.2195
52,WideBay,QLD,76.32,11.278,0.927,74.505,78.14,148,0.3043
53,Gellibrand,VIC,76.31,12.413,1.115,74.128,78.498,124,0.3974
54,Farrer,NSW,76.31,12.619,0.918,74.512,78.111,189,0.3051
55,Fairfax,QLD,76.27,13.441,1.197,73.923,78.617,126,0.4524
56,Canning,WA,76.21,13.273,1.271,73.72,78.704,109,0.5076
57,Fisher,QLD,76.19,12.936,1.157,73.926,78.462,125,0.4762
58,Parkes,NSW,76.19,12.473,0.893,74.44,77.941,195,0.3583
59,Whitlam,NSW,76.13,12.422,1.046,74.079,78.18,141,0.4677
60,Cook,NSW,76.07,10.948,0.975,74.154,77.977,126,0.4756
61,Groom,QLD,76.03,14.307,1.209,73.661,78.401,140,0.5849
62,Bonner,QLD,76.01,11.779,0.965,74.12,77.903,149,0.5062
63,Durack,WA,76,13.809,1.032,73.979,78.025,179,0.5406
64,Leichhardt,QLD,76,13.714,1.077,73.885,78.108,162,0.561
65,Higgins,VIC,75.99,11.475,0.963,74.098,77.873,142,0.5224
66,Batman,VIC,75.96,12.196,0.952,74.092,77.825,164,0.5368
67,Hindmarsh,SA,75.92,12.752,0.97,74.02,77.821,173,0.57
68,Capricornia,QLD,75.88,13.848,0.738,74.43,77.323,352,0.4925
69,Denison,TAS,75.85,12.346,1.067,73.762,77.943,134,0.6507
70,Fenner,ACT,75.84,10.839,0.801,74.269,77.41,183,0.5582
71,Moreton,QLD,75.81,10.686,0.945,73.963,77.666,128,0.6378
72,Warringah,NSW,75.78,12.509,0.968,73.885,77.68,167,0.6698
73,Paterson,NSW,75.78,11.748,0.989,73.836,77.714,141,0.6822
74,Kooyong,VIC,75.75,13.441,1.04,73.71,77.787,167,0.7159
75,Tangney,WA,75.72,10.73,0.816,74.124,77.322,173,0.6656
76,McPherson,QLD,75.71,13.747,1.299,73.168,78.26,112,0.791
77,Casey,VIC,75.68,11.786,0.959,73.796,77.556,151,0.7494
78,Cowper,NSW,75.67,13.26,0.988,73.737,77.612,180,0.7579
79,Menzies,VIC,75.66,12.513,0.957,73.78,77.531,171,0.7652
80,Barker,SA,75.53,13.779,1.121,73.327,77.723,151,0.89
81,Melbourne,VIC,75.39,11.638,0.984,73.46,77.316,140,0.9856
82,Pearce,WA,75.37,11.003,1.026,73.355,77.378,115,0.9972
83,Dawson,QLD,75.33,13.492,1.026,73.316,77.337,173,0.9659
84,Bass,TAS,75.26,11.699,1.24,72.834,77.695,89,0.9324
85,Hotham,VIC,75.26,11.227,1.004,73.289,77.225,125,0.9105
86,Maribyrnong,VIC,75.22,12.326,1.181,72.902,77.53,109,0.8964
87,Moore,WA,75.21,11.06,0.883,73.484,76.944,157,0.8596
88,Wakefield,SA,75.21,14.886,1.22,72.816,77.596,149,0.8931
89,Melbourne Ports,VIC,75.18,10.984,0.96,73.299,77.061,131,0.843
90,Dunkley,VIC,75.18,11.966,0.866,73.479,76.873,191,0.8225
91,Oxley,QLD,75.17,12.693,1.269,72.684,77.659,100,0.8757
92,La Trobe,VIC,75.16,11.65,0.907,73.382,76.938,165,0.817
93,Shortland,NSW,75.16,13.029,0.979,73.238,77.077,177,0.8281
94,Brand,WA,75.1,12.881,1.171,72.805,77.396,121,0.8179
95,Grayndler,NSW,75.09,11.348,0.881,73.368,76.821,166,0.7546
96,Forde,QLD,75.08,13.87,1.311,72.508,77.645,112,0.8228
97,Hasluck,WA,75.07,12.782,1.023,73.067,77.079,156,0.7719
98,Port Adelaide,SA,75.05,13.248,1.112,72.871,77.229,142,0.7737
99,Kingston,SA,75.03,10.809,0.898,73.275,76.794,145,0.7086
100,Deakin,VIC,75.03,11.551,0.842,73.379,76.682,188,0.6869
101,Dobell,NSW,75.02,12.572,0.617,73.806,76.225,415,0.5657
102,Perth,WA,74.98,12.017,1.102,72.823,77.141,119,0.7247
103,Richmond,NSW,74.97,13.003,1.095,72.828,77.121,141,0.7181
104,Bennelong,NSW,74.88,11.828,0.907,73.104,76.66,170,0.5909
105,Fadden,QLD,74.88,11.918,1.158,72.61,77.148,106,0.6713
106,Lalor,VIC,74.86,12.205,1.066,72.773,76.954,131,0.6349
107,Banks,NSW,74.77,12.138,0.984,72.845,76.704,152,0.5452
108,Griffith,QLD,74.77,13.307,1.121,72.575,76.969,141,0.5936
109,Macquarie,NSW,74.74,13.237,0.839,73.095,76.383,249,0.4519
110,Bruce,VIC,74.73,12.067,1.054,72.666,76.799,131,0.5456
111,Robertson,NSW,74.69,13.735,0.867,72.991,76.389,251,0.4327
112,Makin,SA,74.68,12.915,1.051,72.623,76.743,151,0.5134
113,Sydney,NSW,74.68,12.117,0.989,72.737,76.615,150,0.4831
114,Gorton,VIC,74.66,13.371,1.344,72.027,77.295,99,0.5977
115,Petrie,QLD,74.62,15.029,0.852,72.951,76.291,311,0.3795
116,Grey,SA,74.58,13.29,1.035,72.552,76.608,165,0.4452
117,Isaacs,VIC,74.57,11.616,0.996,72.617,76.522,136,0.4215
118,Blair,QLD,74.56,12.778,1.013,72.569,76.541,159,0.4214
119,Brisbane,QLD,74.55,12.718,1.064,72.461,76.63,143,0.4382
120,Greenway,NSW,74.53,12.011,1.015,72.541,76.52,140,0.4083
121,Wright,QLD,74.47,14.764,1.164,72.191,76.753,161,0.4403
122,Watson,NSW,74.42,12.171,1.262,71.95,76.898,93,0.4535
123,Herbert,QLD,74.35,13.037,1.054,72.285,76.417,153,0.3337
124,Dickson,QLD,74.35,11.583,0.907,72.569,76.125,163,0.2596
125,Barton,NSW,74.31,12.515,0.717,72.909,75.718,305,0.1405
126,Kingsford Smith,NSW,74.27,12.175,1.085,72.148,76.4,126,0.3124
127,Wentworth,NSW,74.11,12.037,1.085,71.984,76.239,123,0.2462
128,Lilley,QLD,74.09,13.898,0.723,72.676,75.509,370,0.0771
129,Macarthur,NSW,74.08,12.558,1.085,71.957,76.21,134,0.2356
130,Parramatta,NSW,73.84,12.688,0.718,72.434,75.25,312,0.0334
131,Longman,QLD,73.82,14.385,1.137,71.592,76.05,160,0.1733
132,Stirling,WA,73.64,10.979,1.061,71.565,75.725,107,0.1041
133,Solomon,NT,73.63,13.409,1.454,70.779,76.481,85,0.2317
134,Reid,NSW,73.61,13.545,1.231,71.199,76.026,121,0.1536
135,Rankin,QLD,73.55,12.537,1.164,71.265,75.828,116,0.1173
136,Burt,WA,73.38,12.408,1.235,70.961,75.8,101,0.1071
137,Wills,VIC,73.2,13.633,1.144,70.957,75.442,142,0.0578
138,Fowler,NSW,72.98,13.725,1.629,69.785,76.171,71,0.142
139,Lindsay,NSW,72.93,13.362,1.056,70.858,74.999,160,0.0208
140,Swan,WA,72.92,13.328,1.092,70.784,75.064,149,0.0251
141,Scullin,VIC,72.9,12.375,1.164,70.613,75.177,113,0.0335
142,Hinkler,QLD,72.67,14.119,1.334,70.051,75.281,112,0.0427
143,Calwell,VIC,72.63,13.077,1.378,69.933,75.337,90,0.0472
144,Moncrieff,QLD,72.03,13.767,1.428,69.229,74.826,93,0.0192
145,Werriwa,NSW,72,15.171,1.665,68.733,75.261,83,0.0428
146,McMahon,NSW,71.87,15.355,1.396,69.129,74.601,121,0.0121
147,Chifley,NSW,71.57,15.352,1.379,68.865,74.269,124,0.0058
148,Cowan,WA,71.48,12.615,1.161,69.201,73.753,118,0.0008
149,Holt,VIC,71.38,14.664,1.301,68.833,73.934,127,0.0022
150,Blaxland,NSW,71.23,13.802,1.497,68.293,74.161,85,0.0057
